depth,phi,theta
2766,4882,9014
2723,5042,9091
2688,5202,9159
2650,5367,9231
2743,5013,9023
2699,5175,9095
2669,5336,9159
2633,5504,9227
2727,5142,9031
2684,5308,9100
2659,5470,9159
2620,5640,9224
2698,5273,9040
2670,5439,9104
2631,5604,9160
2611,5774,9220
2682,5401,9048
2653,5571,9108
2630,5737,9160
2601,5911,9216
2667,5531,9057
2639,5703,9112
2618,5872,9160
2590,6046,9211
2649,5662,9065
2619,5835,9117
2606,6006,9160
2586,6183,9207
2640,5794,9074
2614,5970,9121
2599,6141,9161
2585,6320,9203
2625,5924,9082
2608,6102,9125
2588,6276,9161
2575,6455,9199
2613,6056,9091
2597,6234,9130
2586,6409,9161
2561,6592,9195
2605,6185,9100
2587,6366,9134
2558,6542,9161
2506,6725,9190
2597,6317,9108
2564,6498,9138
2499,6677,9161
2424,6860,9186
2563,6448,9117
2498,6630,9142
2443,6810,9161
2364,6997,9182
2507,6579,9125
2444,6764,9147
2371,6943,9161
2297,7132,9177
2455,6711,9134
2380,6898,9151
2310,7080,9161
2233,7267,9173
2405,6844,9143
2324,7030,9155
2244,7213,9161
2180,7402,9168
2348,6975,9151
2266,7164,9159
2201,7346,9161
2139,7538,9164
2290,7107,9160
2222,7297,9164
2155,7481,9161
2106,7670,9159
2241,7238,9169
2169,7428,9167
2124,7613,9161
2066,7806,9155
2196,7370,9177
2137,7562,9171
2083,7747,9160
2041,7940,9150
2158,7502,9185
2111,7694,9176
2057,7882,9160
2006,8074,9145
2128,7635,9194
2077,7827,9180
2032,8015,9160
1981,8209,9141
2109,7768,9203
2050,7962,9184
2003,8148,9160
1955,8343,9136
2071,7901,9211
2030,8095,9188
1980,8283,9160
1922,8477,9131
2052,8034,9219
2004,8229,9192
1950,8416,9159
1891,8612,9127
2036,8166,9228
1983,8362,9195
1918,8549,9159
1862,8745,9122
2020,8300,9236
1958,8495,9199
1897,8684,9159
1839,8878,9117
1994,8433,9244
1931,8630,9203
1871,8817,9158
