depth,phi,theta
6827,28600,6057
6669,28490,6156
6500,28372,6259
2882,28841,5958
2956,28726,6059
6756,28622,6160
6576,28507,6266
2820,28964,5957
2866,28852,6060
2934,28753,6164
2998,28643,6274
2834,29085,5956
2887,28979,6062
2965,28884,6169
3040,28780,6281
2881,29206,5954
2943,29105,6064
3026,29015,6174
3111,28916,6288
6890,29328,5953
6957,29231,6066
7065,29146,6178
6917,29052,6296
6673,29449,5952
6781,29358,6068
6904,29277,6183
7012,29189,6303
6512,29571,5952
6636,29484,6070
6825,29409,6187
7063,29326,6310
6516,29692,5951
6711,29611,6072
6962,29540,6192
7247,29463,6317
6618,29812,5950
6847,29737,6074
7607,29671,6196
7373,29600,6324
6349,29934,5950
6411,29862,6076
7747,29803,6201
7516,29736,6331
6529,30055,5949
6320,29989,6078
6230,29934,6205
7672,29874,6338
6966,30175,5949
6302,30115,6080
6282,30065,6210
7797,30010,6345
7075,30296,5949
8205,30242,6083
6462,30197,6214
7729,30148,6352
7189,30417,5949
8701,30368,6085
8227,30329,6219
7925,30285,6358
7322,30538,5950
7345,30494,6087
8655,30461,6223
8385,30422,6365
7405,30658,5950
9072,30620,6090
8878,30592,6228
8623,30559,6371
7543,30778,5950
7092,30746,6092
8931,30723,6232
8861,30696,6378
7683,30900,5951
8796,30872,6095
8831,30855,6236
9126,30833,6384
7799,31020,5951
8663,30999,6098
8909,30987,6241
9406,30971,6390
7997,31141,5953
8530,31125,6101
9986,31119,6246
9707,31109,6396
8213,31261,5954
8675,31252,6104
10330,31250,6250
10086,31246,6402
8392,31382,5955
8886,31378,6106
10730,31383,6255
10420,31383,6408
8450,31501,5956
9089,31504,6109
11100,31514,6259
10828,31520,6414
0,31622,5958
9252,31629,6112
11212,31646,6263
11201,31657,6419
9452,31742,5959
9458,31756,6116
11102,31777,6267
5464,31796,6425
9864,31862,5960
9717,31882,6119
10989,31910,6272
5465,31934,6431
10290,31983,5963
10080,32009,6122
10890,32041,6275
8166,32071,6436
10754,32104,5965
10575,32135,6125
5369,32174,6280
0,32208,6441
